UserID Group IGT
46 Control 21.915609
1197 Control 19.086672
1505 Variant 14.424594
1568 Variant 25.497257
962 Control 23.88539
941 Control 25.074234
1222 Control 18.446005
376 Control 12.694105
1914 Variant 35.668199
1461 Control 27.116976
753 Control 14.620065
244 Control 23.68189
2050 Variant 33.618509
2383 Variant 22.106127
1749 Variant 8.439911
367 Control 22.617108
194 Control 9.736822
1606 Variant 38.076247
1519 Variant 17.904942
38 Control 28.830804
1408 Control 24.942103
2456 Variant 21.325572
1348 Control 14.880911
488 Control 18.382942
177 Control 22.803886
1078 Control 11.970014
1174 Control 23.94872
345 Control 17.051188
2582 Variant 26.52456
1119 Control 23.653551
516 Control 14.77418
1154 Control 26.9778
2204 Variant 12.690642
1787 Variant 11.25298
1069 Control 19.163187
1737 Variant 20.631852
2486 Variant 16.169076
162 Control 29.300278
2201 Variant 18.674696
1307 Control 20.369764
52 Control 20.50717
576 Control 23.305771
266 Control 17.419787
521 Control 28.381538
1215 Control 16.34976
475 Control 24.10006
71 Control 18.586824
2407 Variant 30.529125
1264 Control 15.929878
1492 Control 21.474046
2081 Variant 9.358586
95 Control 19.720663
1195 Control 20.955911
221 Control 28.701731
548 Control 22.222733
675 Control 11.156315
2499 Variant 25.238651
1672 Variant 22.587503
2151 Variant 29.398593
911 Control 25.346393
1132 Control 17.481564
1817 Variant 26.321634
248 Control 19.461665
210 Control 14.314316
500 Control 27.623341
690 Control 16.784846
2083 Variant 18.033803
1784 Variant 18.568806
2371 Variant 20.513493
1715 Variant 11.96879
1990 Variant 18.447828
2442 Variant 25.375727
2132 Variant 22.087145
701 Control 22.628771
1201 Control 19.413849
2040 Variant 13.116276
989 Control 11.936175
1095 Control 28.482253
802 Control 12.438013
1086 Control 18.330088
151 Control 11.031756
1869 Variant 16.954944
1651 Variant 29.460843
1846 Variant 24.196734
1199 Control 20.560222
2598 Variant 22.117924
663 Control 21.762406
2508 Variant 25.988839
2457 Variant 22.487473
1274 Control 18.016733
1173 Control 13.98854
2318 Variant 29.011463
13 Control 18.693218
2107 Variant 23.799845
912 Control 19.158709
973 Control 13.932734
544 Control 10.662116
2514 Variant 29.424685
1837 Variant 21.039439
257 Control 15.01992
213 Control 18.50086
2461 Variant 18.781766
2202 Variant 20.082535
1678 Variant 19.214785
582 Control 29.484188
2339 Variant 25.321234
2138 Variant 23.598124
0 Control 28.452629
2313 Variant 26.903108
2247 Variant 22.207377
957 Control 23.120779
1221 Control 24.771976
1925 Variant 16.659525
767 Control 19.739082
1975 Variant 21.157821
1507 Variant 13.450745
1344 Control 25.106577
1848 Variant 41.500415
473 Control 20.953365
353 Control 8.5429
830 Control 16.354332
1712 Variant 19.122311
1769 Variant 22.391628
642 Control 14.868962
667 Control 20.570169
480 Control 25.358422
896 Control 26.276803
695 Control 15.371277
1705 Variant 21.267353
1544 Variant 26.972648
1031 Control 28.472493
187 Control 23.655772
2290 Variant 18.02377
1913 Variant 20.140765
740 Control 21.339147
2547 Variant 25.8604
1897 Variant 28.481868
53 Control 21.262889
1991 Variant 12.593541
332 Control 16.564954
2135 Variant 21.924524
1050 Control 13.00036
59 Control 25.96543
1385 Control 9.691581
509 Control 20.883447
1768 Variant 20.0307
1124 Control 15.4742
707 Control 27.019998
900 Control 18.161341
1486 Control 22.555295
147 Control 15.8827
974 Control 21.704403
852 Control 27.536203
2448 Variant 17.906195
1040 Control 17.722382
1167 Control 16.354926
2064 Variant 33.625642
2396 Variant 26.548115
1772 Variant 21.579765
2569 Variant 24.357041
1188 Control 23.802414
262 Control 11.172797
2341 Variant 18.813582
793 Control 17.980523
697 Control 12.226577
600 Control 20.117238
310 Control 16.729804
133 Control 21.04861
972 Control 19.706213
1304 Control 16.643002
1234 Control 20.424689
1790 Variant 17.069593
2564 Variant 14.124671
885 Control 27.930566
570 Control 18.324062
610 Control 21.135998
2330 Variant 24.887341
840 Control 22.771642
564 Control 32.554057
1601 Variant 22.633059
1236 Control 21.784012
1740 Variant 16.665613
591 Control 25.404869
1566 Variant 29.645069
1392 Control 15.36192
2189 Variant 17.607883
1683 Variant 21.342747
718 Control 18.870155
2530 Variant 10.710703
585 Control 21.507724
1720 Variant 15.316808
2391 Variant 27.74426
2117 Variant 20.872112
613 Control 24.795854
11 Control 19.142259
301 Control 19.130882
1291 Control 13.393844
788 Control 17.404335
1965 Variant 19.814455
2351 Variant 7.764511
145 Control 17.425364
1333 Control 16.078235
2507 Variant 16.90525
928 Control 22.105593
1185 Control 25.971123
1918 Variant 19.217374
1940 Variant 35.306325
246 Control 26.441018
2150 Variant 18.716618
1140 Control 26.311941
2013 Variant 10.281616
1948 Variant 18.839253
2484 Variant 25.391864
2261 Variant 17.426326
94 Control 16.631774
1111 Control 22.76799
1759 Variant 22.177337
2439 Variant 29.360558
1676 Variant 29.177768
1929 Variant 16.781542
1474 Control 24.890383
1622 Variant 14.794349
1472 Control 11.350073
143 Control 14.390188
2274 Variant 23.523913
1944 Variant 15.370557
684 Control 16.816872
706 Control 18.526541
1852 Variant 27.51443
1535 Variant 26.962277
1431 Control 32.89728
1073 Control 20.224312
2275 Variant 10.812348
887 Control 16.271627
1731 Variant 22.333734
933 Control 16.288219
393 Control 18.564211
617 Control 19.347201
935 Control 25.237658
2155 Variant 22.724331
965 Control 20.852454
2277 Variant 26.395065
1892 Variant 21.298119
1663 Variant 7.434523
2282 Variant 15.257508
765 Control 23.292771
743 Control 15.623371
2512 Variant 25.50667
2434 Variant 26.03969
1706 Variant 19.741505
2355 Variant 27.740643
2409 Variant 25.229767
624 Control 22.794722
2333 Variant 19.256849
107 Control 20.78422
1329 Control 16.490341
1564 Variant 21.163985
1271 Control 18.1305
1127 Control 17.828089
237 Control 18.263979
2017 Variant 31.801459
1830 Variant 22.721578
2091 Variant 12.688676
964 Control 25.630368
1682 Variant 16.853075
1240 Control 25.702368
1175 Control 12.574236
682 Control 24.968056
1771 Variant 17.323156
511 Control 11.103456
2324 Variant 10.814717
1648 Variant 16.137501
81 Control 24.471762
2258 Variant 24.147801
1680 Variant 17.859512
129 Control 21.418182
1573 Variant 22.212923
757 Control 17.310956
842 Control 23.30486
2533 Variant 24.027306
1421 Control 21.218651
362 Control 17.569114
1432 Control 12.40431
1831 Variant 23.924283
482 Control 18.849109
727 Control 26.628735
615 Control 23.113412
2568 Variant 20.34234
1117 Control 23.566642
1361 Control 22.305986
1170 Control 26.247181
357 Control 20.369159
274 Control 23.023156
991 Control 17.836778
2131 Variant 18.639794
350 Control 33.192694
692 Control 24.189609
922 Control 26.608188
2497 Variant 30.303801
2477 Variant 22.373628
878 Control 21.616537
2022 Variant 15.989547
258 Control 19.904468
1569 Variant 27.479335
364 Control 16.726041
192 Control 25.412034
399 Control 25.397729
1559 Variant 22.381954
1698 Variant 19.155945
1751 Variant 9.830146
536 Control 26.816117
1345 Control 27.551815
247 Control 17.058686
1757 Variant 15.2872
1572 Variant 18.41613
2549 Variant 20.527379
2292 Variant 8.39915
685 Control 4.998419
776 Control 21.17159
2048 Variant 21.523266
407 Control 16.479614
660 Control 14.32839
1780 Variant 22.119053
26 Control 17.973861
2269 Variant 20.799209
1265 Control 22.456723
865 Control 25.114902
747 Control 30.48563
837 Control 14.497858
110 Control 18.560081
2065 Variant 23.516721
2447 Variant 24.682348
1282 Control 21.703954
1144 Control 26.916847
919 Control 19.15479
30 Control 16.287232
2381 Variant 14.349552
1262 Control 20.739598
1435 Control 28.701263
2343 Variant 18.589587
423 Control 16.318754
839 Control 28.092846
1995 Variant 28.878202
1326 Control 27.021403
1088 Control 19.091549
2445 Variant 17.984222
389 Control 19.366566
1219 Control 20.075117
1833 Variant 23.30808
2358 Variant 11.768344
1434 Control 19.289772
1952 Variant 19.982611
969 Control 23.421575
2158 Variant 15.223082
2455 Variant 27.874918
817 Control 23.956784
915 Control 19.72426
1108 Control 26.516857
400 Control 19.699993
1714 Variant 22.59139
1491 Control 16.64774
2558 Variant 14.760309
1401 Control 21.440802
1835 Variant 31.137608
2237 Variant 28.960636
1465 Control 16.654525
1819 Variant 20.590195
2301 Variant 18.677993
710 Control 17.036052
1579 Variant 23.467844
687 Control 23.145691
634 Control 22.994439
2102 Variant 22.091598
256 Control 17.659209
271 Control 26.965001
1875 Variant 17.986227
1525 Variant 12.929989
533 Control 13.699049
1565 Variant 18.441453
1502 Variant 11.577458
232 Control 24.865466
2429 Variant 31.006663
1012 Control 20.784289
754 Control 14.98011
359 Control 16.071444
1375 Control 16.415628
1094 Control 26.808263
447 Control 22.191567
2427 Variant 23.227422
2307 Variant 21.269614
2165 Variant 21.411654
996 Control 22.785883
1384 Control 16.975526
1468 Control 21.099379
616 Control 17.703915
665 Control 13.59121
787 Control 14.761782
1666 Variant 25.510148
623 Control 13.074965
1113 Control 22.312977
2076 Variant 12.622164
2542 Variant 24.212787
1878 Variant 34.682756
629 Control 27.196621
990 Control 18.996404
1856 Variant 14.154686
1786 Variant 22.5608
2092 Variant 17.272926
283 Control 18.885249
671 Control 21.067064
2416 Variant 24.604288
720 Control 10.697706
721 Control 17.523364
1858 Variant 19.125738
751 Control 20.80119
768 Control 15.401271
1938 Variant 13.168051
999 Control 16.612804
326 Control 11.792835
2537 Variant 28.678278
739 Control 20.747138
495 Control 23.619366
1039 Control 16.134625
729 Control 13.803765
434 Control 22.398927
674 Control 19.242074
1985 Variant 24.634894
1668 Variant 19.960803
425 Control 18.230844
421 Control 13.081018
427 Control 19.934381
441 Control 23.92776
1917 Variant 23.815586
2478 Variant 19.757931
1163 Control 16.592284
2487 Variant 24.023566
113 Control 22.829412
2225 Variant 20.876165
409 Control 17.900325
1425 Control 25.94103
477 Control 14.10748
1430 Control 35.036675
736 Control 16.699851
426 Control 12.657958
4 Control 16.055385
1261 Control 28.792162
1196 Control 17.263424
1964 Variant 29.390401
1908 Variant 11.032798
808 Control 18.86651
58 Control 19.526123
341 Control 14.678083
1839 Variant 19.921375
1242 Control 21.729122
1545 Variant 21.721556
1554 Variant 26.241101
574 Control 16.322261
303 Control 21.289864
463 Control 15.286638
1766 Variant 16.377161
2511 Variant 16.171123
452 Control 19.460062
2036 Variant 29.85511
297 Control 20.042128
858 Control 19.079401
394 Control 11.963936
708 Control 20.943251
854 Control 22.260121
759 Control 27.839329
1937 Variant 23.539917
2073 Variant 31.170039
1744 Variant 18.647299
1636 Variant 15.852633
628 Control 13.378833
166 Control 16.517045
139 Control 21.866654
1527 Variant 29.052004
1810 Variant 22.522378
1528 Variant 21.234382
797 Control 20.107332
799 Control 24.224616
466 Control 20.483373
284 Control 23.8033
405 Control 11.908655
1972 Variant 25.561999
2293 Variant 24.502648
2401 Variant 7.766225
1193 Control 23.237826
370 Control 22.928924
1276 Control 24.451969
1081 Control 10.827651
1205 Control 20.424907
1209 Control 25.286788
398 Control 27.712416
1555 Variant 3.065614
1842 Variant 24.596641
1200 Control 14.563138
2242 Variant 5.164342
724 Control 24.371222
381 Control 19.754989
135 Control 10.83787
1915 Variant 21.00226
944 Control 25.532012
775 Control 23.907426
2299 Variant 18.857948
1756 Variant 20.080357
1336 Control 16.342072
1190 Control 20.905966
1970 Variant 29.515422
1083 Control 15.070771
1588 Variant 26.399709
2306 Variant 26.148085
1463 Control 19.060108
2450 Variant 25.827654
1481 Control 17.197671
1357 Control 15.998923
923 Control 18.475236
1179 Control 22.240033
2386 Variant 20.517927
2159 Variant 13.721487
807 Control 15.832572
1733 Variant 23.598953
750 Control 30.617368
276 Control 17.157721
2068 Variant 24.704097
1015 Control 22.912043
2094 Variant 22.299632
1115 Control 14.531372
307 Control 26.964637
2541 Variant 20.453867
2567 Variant 26.335976
157 Control 23.793626
993 Control 28.441929
1331 Control 27.437772
1877 Variant 10.074194
2267 Variant 25.273675
1426 Control 10.193661
1106 Control 20.260897
1025 Control 24.290999
1775 Variant 14.140027
1021 Control 12.666118
1126 Control 15.784112
1741 Variant 21.68891
1306 Control 20.806627
2404 Variant 21.594963
1677 Variant 26.568954
2377 Variant 19.518317
2176 Variant 18.70131
2518 Variant 23.419092
728 Control 19.557667
2412 Variant 27.875706
2244 Variant 25.492253
733 Control 16.26939
1870 Variant 31.79188
614 Control 15.283414
741 Control 11.764548
2473 Variant 16.498771
296 Control 29.188972
1302 Control 23.455851
298 Control 28.397597
451 Control 15.059074
1623 Variant 19.379491
89 Control 23.347091
1976 Variant 19.847116
2152 Variant 17.337923
1419 Control 26.979235
1051 Control 23.057906
540 Control 17.463464
2482 Variant 12.926902
1686 Variant 29.491373
1684 Variant 32.515671
175 Control 19.343622
1079 Control 15.118114
379 Control 22.698692
761 Control 23.140798
504 Control 15.721631
1930 Variant 17.591906
176 Control 24.805382
668 Control 16.535153
1436 Control 25.683853
491 Control 23.823481
1001 Control 15.454409
85 Control 17.046151
795 Control 17.46313
2147 Variant 38.045848
2212 Variant 30.178135
406 Control 26.6866
497 Control 19.183758
869 Control 23.035423
2492 Variant 37.323115
2410 Variant 14.335392
1120 Control 24.494645
985 Control 31.759337
917 Control 18.42286
1341 Control 23.153403
1208 Control 22.246014
2446 Variant 16.704197
433 Control 22.622559
314 Control 15.679534
1553 Variant 21.740951
1841 Variant 15.972998
652 Control 17.068657
1334 Control 19.238605
18 Control 21.3723
1355 Control 25.018732
2430 Variant 13.019259
827 Control 19.996934
1159 Control 11.298699
2472 Variant 12.447273
333 Control 13.258438
329 Control 18.795229
2327 Variant 17.706253
223 Control 18.863737
47 Control 31.237975
1494 Control 19.997892
235 Control 25.856967
241 Control 10.500693
2067 Variant 24.113766
1624 Variant 15.116201
218 Control 19.025592
683 Control 21.758986
956 Control 27.788316
601 Control 14.300303
2449 Variant 26.62937
2498 Variant 25.846487
2451 Variant 18.379621
2137 Variant 26.731611
1893 Variant 18.615988
639 Control 25.155177
305 Control 19.258665
2297 Variant 28.842123
440 Control 17.86578
1101 Control 8.282205
1281 Control 25.816102
231 Control 17.404313
2468 Variant 23.146475
1669 Variant 22.893027
179 Control 23.326018
2347 Variant 11.950919
2030 Variant 21.974766
403 Control 22.169547
961 Control 21.882465
142 Control 17.345731
530 Control 22.649472
2096 Variant 14.063329
1034 Control 31.816899
21 Control 20.771678
358 Control 18.999229
1263 Control 22.784519
1953 Variant 18.178414
2166 Variant 8.465699
2291 Variant 15.530331
383 Control 15.263262
2162 Variant 23.946905
2332 Variant 13.429274
148 Control 18.59446
2321 Variant 33.389688
545 Control 21.690255
300 Control 21.648749
1700 Variant 17.274607
2302 Variant 22.32908
2024 Variant 9.032473
575 Control 17.293697
1763 Variant 13.984699
620 Control 19.628125
2125 Variant 29.289216
732 Control 23.866473
566 Control 24.473066
1742 Variant 24.632789
2085 Variant 21.744029
1338 Control 15.230742
963 Control 25.745848
756 Control 18.646546
1059 Control 18.334206
55 Control 18.452618
955 Control 17.599735
1993 Variant 21.196479
1313 Control 25.471289
471 Control 20.591496
1141 Control 19.533143
2101 Variant 19.765194
568 Control 24.666218
1155 Control 9.960595
2583 Variant 25.874126
894 Control 19.289599
465 Control 25.378812
1511 Variant 15.313578
1923 Variant 19.076396
1067 Control 7.829555
1866 Variant 15.645353
1299 Control 30.350438
2388 Variant 18.082305
760 Control 17.052932
413 Control 12.348007
2141 Variant 25.529146
1662 Variant 19.216473
1370 Control 15.015176
2369 Variant 17.024534
1065 Control 22.643098
1479 Control 19.68963
1424 Control 17.104664
1004 Control 23.758337
2559 Variant 30.617327
72 Control 20.543242
1428 Control 22.052503
1549 Variant 27.317517
2379 Variant 24.628347
1524 Variant 27.616194
704 Control 25.017775
1450 Control 22.662183
782 Control 25.831166
2334 Variant 19.790161
2509 Variant 20.780582
771 Control 18.64008
2007 Variant 30.562886
483 Control 24.974669
1754 Variant 18.632183
2238 Variant 24.736348
1128 Control 21.226994
2544 Variant 21.60527
2279 Variant 13.515095
1752 Variant 19.654048
2156 Variant 17.783931
1203 Control 20.132439
1495 Control 15.095905
2023 Variant 13.603691
967 Control 14.27461
694 Control 19.435616
331 Control 21.157299
2171 Variant 29.300968
51 Control 21.186509
2395 Variant 14.972078
1557 Variant 17.195821
1570 Variant 8.0704
2004 Variant 18.66551
529 Control 20.746477
2224 Variant 26.91606
2414 Variant 19.51427
1616 Variant 17.137631
487 Control 19.295746
2109 Variant 35.334111
1571 Variant 30.515985
1476 Control 19.353058
849 Control 29.743063
525 Control 27.252922
2193 Variant 22.415016
1285 Control 13.249301
2560 Variant 21.129751
1690 Variant 23.840477
2571 Variant 24.319669
1795 Variant 22.906059
286 Control 22.358889
2373 Variant 23.935176
1458 Control 25.464405
1966 Variant 16.388495
907 Control 18.606988
1778 Variant 9.087504
1036 Control 22.128004
330 Control 18.69868
1139 Control 18.602679
1457 Control 24.490801
2257 Variant 21.745847
1599 Variant 22.528872
1441 Control 12.326029
1538 Variant 16.165311
1660 Variant 21.57497
1409 Control 13.693516
804 Control 21.193543
947 Control 19.404729
1365 Control 26.429347
2572 Variant 17.459362
1165 Control 20.891248
2037 Variant 18.194441
2384 Variant 26.046246
1497 Control 23.025426
83 Control 15.382277
2360 Variant 26.533978
2207 Variant 10.36669
2467 Variant 18.724691
2331 Variant 29.354825
2591 Variant 21.868499
519 Control 18.320786
1023 Control 17.908091
598 Control 29.521532
1146 Control 22.320228
1961 Variant 26.127576
2034 Variant 21.393186
1650 Variant 16.108663
524 Control 21.538791
1080 Control 14.20359
1661 Variant 20.630391
377 Control 25.852308
1655 Variant 21.867109
1901 Variant 22.341188
136 Control 20.440775
864 Control 21.008908
1625 Variant 10.635746
1812 Variant 29.947907
936 Control 15.458721
1907 Variant 17.950127
2078 Variant 22.804723
2435 Variant 8.999574
844 Control 20.035238
638 Control 18.959077
1187 Control 11.914887
1013 Control 13.783137
119 Control 28.737886
946 Control 22.272518
2056 Variant 21.128483
388 Control 22.017799
1735 Variant 28.225239
1290 Control 18.400213
1084 Control 16.943846
2417 Variant 19.587638
1346 Control 19.964014
273 Control 16.380577
288 Control 13.293172
1000 Control 24.42444
573 Control 26.48288
607 Control 27.111334
2562 Variant 20.772308
558 Control 14.390004
995 Control 20.193302
378 Control 19.915258
159 Control 24.902785
123 Control 20.653115
1750 Variant 28.515903
98 Control 18.289415
2460 Variant 12.467579
230 Control 19.365454
212 Control 22.965641
251 Control 18.85098
462 Control 13.232662
1853 Variant 15.342213
1044 Control 12.537549
891 Control 16.640745
201 Control 25.075075
78 Control 19.035723
1055 Control 14.039236
1816 Variant 15.134878
2080 Variant 12.175941
589 Control 22.909796
2054 Variant 19.546343
115 Control 20.914504
2246 Variant 17.511783
1350 Control 17.425189
334 Control 21.612589
635 Control 14.762998
1882 Variant 19.076679
385 Control 12.409998
651 Control 26.524174
340 Control 28.913146
75 Control 18.936335
1628 Variant 19.475449
1777 Variant 20.107262
325 Control 19.729049
2148 Variant 19.33665
1634 Variant 10.648858
783 Control 17.833381
